id,team,gained_lp,interval_winrate
저승민#이승민,KT Rolster [PerfecT],140,60%
septem#ber,Suning [huanfeng],117,56%
하와와#0904,[DDahyuk],106,71%
qazwsx#abc,[Art],95,73%
웅냥냥#KR0,OKSavingsBank BRION [HamBak],86,70%
25hdp#JDG,JD Gaming [Yagao],85,80%
qweasdqweasdqw#KR1,Top Esports [JackeyLove],76,83%
SeongHw4n#KR1,[SeongHwan],73,60%
SPIRIT#0701,[Spirit],61,80%
Ryan#KR3,KaBuM! eSports [Ryan],58,57%
NS Jiwoo#KR1,NS RedForce [Jiwoo],57,80%
쑤셔쑤셔#444,[HyBriD],54,71%
댕청잇#KR123,BNK FEARX [Kellin],54,80%
시작이 제일 무서워#미루니,Kwangdong Freecs Academy [Pressure],50,67%
대광#God,BNK FEARX [VicLa],46,71%
김김김#KR2,Anyone's Legend [Croco],43,67%
토게데마루#777,Talon [Azhi],40,100%
대머리도적#롤링썬더,DRX [Rich],39,75%
승 구#오 구,[Savage],39,100%
EDG WiNK#CN1,[joker],39,60%
N/A,,0,N/A
I have a candy#KR2,[Cpt Jack],38,67%
미북이#KR1,LNG Esports [Scout],38,100%
어쩌라고맞짱뜰까#HOYA,ThunderTalk Gaming [HOYA],37,63%
Sponge#KR2,DRX [Sponge],36,75%
메 피#KR1,[Mephi],36,75%
nppn#KRR,OKSavingsBank BRION [Hype],36,100%
FATE#KR2,Fukuoka SoftBank Hawks Gaming [FATE],31,67%
Ghost#장드래곤준,[Ghost],31,67%
Levy#COIN,OKSavingsBank BRION [Ellim],26,57%
ADINAKIGN#7339,Talon [Betty],23,100%
Dantalian#8888,[Dantal],23,60%
사옥 지박령#KR4,T1 [Smash],23,67%
Burdol man#1225,LGD Gaming [Burdol],22,55%
시계깎는노인#1988,[NoFe],22,67%
you xi#KR1,[Cepted],20,100%
Soopsik#KR2,DN Freecs [Pyosik],20,67%
Pure#1229,VSG (Korean Team) [Pure],20,100%
Winter0#KR1,[yoHan],20,50%
비비드#비비드,[viviD],20,100%
Lody#KR2,[Lody],20,50%
남 궁#KR2,Gen.G Challengers [Namgung],20,100%
vital#0916,NS RedForce [vital],20,100%
dade#늙은이,[dade],20,67%
midqvq9#KR11,Talon [FoFo],19,100%
JzJd#2628,Hanwha Life Esports [Zeka],19,100%
La La Land#라라랜드,[Listo],19,100%
우갈이#0130,DRX [Ucal],19,100%
쿠 로#KR1,[Kuro],19,100%
DRX#kr11,DRX [Pleata],18,67%
맘순이#이뻐해줘,Dplus KIA Academy [Celina],16,67%
민 주#3108,NS RedForce Academy [Calix],16,60%
상욱Ryu#KR1,BNK FEARX [Clear],14,60%
메가 영재#1116,KT Rolster Challengers [YoungJae],14,57%
三 畜#369,[Ben],13,60%
