id,team,gained_lp,interval_winrate
오리지널찰떡쿠키#KR1,[Dread],916,80%
사 용 수#KR1,[Destroy],888,60%
MadLife#1212,N/A,888,68%
모두들 행복하세요#happy,LGD Gaming [Burdol],793,70%
Summer#pado,T1 [Oner],786,67%
의 주#트리거,[Trigger],726,63%
DK ShowMaker#KR1,Dplus KIA [ShowMaker],715,62%
Raptor#KR123,BNK FEARX [Raptor],704,62%
죽기장인#KR1,[PraY],688,66%
검은머리사나이#KR1,[Fly],656,50%
shark tank#KR2,Anyone's Legend [Croco],644,54%
mtrngrxsyl#6146,JD Gaming [MISSING],611,64%
웅냥냥#KR0,OKSavingsBank BRION [HamBak],596,59%
ykang10#9446,[Zenit],595,63%
vinaka#KR1,Top Esports [Kanavi],574,66%
SeongHw4n#KR1,[SeongHwan],556,52%
Ghost#장드래곤준,[Ghost],554,56%
엉덩국 갱승제로#KR1,[GankZero],551,57%
Chzzk 이도르TV#유튜브,[Hollis],550,56%
MiG GGEY#늙었어,Team Flash [Meliodas],542,63%
N/A,,0,N/A
매일 졸려여#KR1,DetonatioN FocusMe [Aria],541,53%
Burdol man#1225,LGD Gaming [Burdol],517,56%
Hide on bush#KR1,T1 [Faker],517,54%
레 이#0315,[Ray],510,56%
봄방학기간#KR1,Anyone's Legend [Kael],505,67%
you xi#KR1,[Cepted],504,53%
물레방아#BRO,OKSavingsBank BRION [Clozer],501,52%
Just NT#1211,V3 Esports [TaNa],497,60%
미드가내현#0207,Aegis [Naehyun],488,55%
큐 베#99999,[CuVee],483,49%
Pure#1229,VSG (Korean Team) [Pure],482,51%
Kingen#KR1,NS RedForce [Kingen],478,61%
Dantalian#8888,[Dantal],476,58%
플레이리스트겨울#KR1,Hanwha Life Esports [Delight],468,59%
DRX Frozen#DRX,DRX Challengers [Frozen],461,71%
Call of Silence#CN1,Gen.G Academy [Dooly],456,55%
Deft#8366,[Deft],455,56%
Rahel#111,Dplus KIA Challengers [Rahel],435,80%
콩할이#1004,[Thal],431,59%
따봉 람머스#KR1,DN Freecs [DuDu],414,61%
Im necessary#KR1,DetonatioN FocusMe [Harp],413,69%
타 잔#KR1,[Tarzan],410,59%
FATE#KR2,Fukuoka SoftBank Hawks Gaming [FATE],408,55%
Duro#Gen,Gen.G [Duro],405,60%
Levy#COIN,OKSavingsBank BRION [Ellim],399,53%
T1 Gumayusi#KR1,T1 [Gumayusi],396,60%
Summer#praia,T1 [Keria],387,52%
Juhana#DRX25,DRX [Juhan],387,55%
Cuzz#KR1,KT Rolster [Cuzz],380,60%
19980409#KR2,[Moojin],379,76%
Spring#bomm,Hanwha Life Esports [Zeus],374,60%
DRX kyeahoo#0813,DRX [kyeahoo],374,59%
하와와#0904,[DDahyuk],366,74%
BeryL#000,Dplus KIA [BeryL],364,56%
NS Jiwoo#KR1,NS RedForce [Jiwoo],361,56%
NK LOL#LOL,Spear Gaming [Nino],360,56%
Peyz#KR11,JD Gaming [Peyz],345,57%
허거덩#0303,Gen.G [Chovy],340,56%
Bang#BJS,[Bang],339,52%
JzJd#2628,Hanwha Life Esports [Zeka],335,60%
DNF Berserker#6666,DN Freecs [Berserker],335,59%
댕청이#3324,[Danchung],333,49%
kiin#KR1,Gen.G [Kiin],325,59%
vital#0916,NS RedForce [vital],322,55%
편 민 기#박 규 용,Hanwha Life Esports Challengers [Rooster],312,72%
승 구#오 구,[Savage],311,55%
septem#ber,Suning [huanfeng],286,46%
박투신#KR1,[TusiN],285,51%
HorangE#fa04,Gen.G Challengers [HorangE],280,52%
Ryan#KR3,KaBuM! eSports [Ryan],277,46%
댕청잇#KR123,BNK FEARX [Kellin],274,58%
Sylvie#77777,NS RedForce [Sylvie],269,56%
알빠노메일배영준#MZ04,DN Freecs [Andil],269,59%
마스터리 코어#KR3,V3 Esports [Hollow],265,63%
MaRin#KR1,[MaRin],255,63%
Lody#KR2,[Lody],251,69%
Casting#KR11,KT Rolster Challengers [Casting],243,54%
Hachani#KR1,[Hachani],241,50%
terren1234#KR2,Dplus KIA Challengers [Thumb],239,52%
아이린#KR1,Dplus KIA [Aiming],233,58%
