id,team,gained_lp,interval_winrate
ykang10#9446,[Zenit],565,62%
하와와#0904,[DDahyuk],366,73%
Lody#KR2,[Lody],343,73%
웅냥냥#KR0,OKSavingsBank BRION [HamBak],296,68%
Ryan#KR3,KaBuM! eSports [Ryan],267,67%
Burdol man#1225,LGD Gaming [Burdol],262,54%
Summer#pado,T1 [Oner],262,64%
저승민#이승민,KT Rolster [PerfecT],250,52%
춘봉박#KR1,[Smeb],227,75%
vital#0916,NS RedForce [vital],226,63%
알파메일이태영#0707,DN Freecs [Life],223,69%
dyjkbysb#KR1,Ninjas in Pyjamas [Rookie],197,65%
NK LOL#LOL,Spear Gaming [Nino],191,85%
대광#God,BNK FEARX [VicLa],188,67%
상욱Ryu#KR1,BNK FEARX [Clear],188,71%
백 호#9005,[BaeKHo],188,64%
DK Lucid#KR1,Dplus KIA [Lucid],185,85%
DNF Berserker#6666,DN Freecs [Berserker],181,68%
아현이 귀여워#0602,[Shark],180,70%
Deft#8366,[Deft],175,64%
N/A,,0,N/A
Sylvie#77777,NS RedForce [Sylvie],172,68%
Natalie#KR 1,[Natalie],165,100%
봄방학기간#KR1,Anyone's Legend [Kael],158,65%
Dantalian#8888,[Dantal],157,60%
매일 졸려여#KR1,DetonatioN FocusMe [Aria],153,56%
shark tank#KR2,Anyone's Legend [Croco],139,55%
Soopsik#KR2,DN Freecs [Pyosik],138,61%
오리지널찰떡쿠키#KR1,[Dread],132,86%
Winter0#KR1,[yoHan],130,55%
죽기장인#KR1,[PraY],128,63%
Just NT#1211,V3 Esports [TaNa],128,55%
mtrngrxsyl#6146,JD Gaming [MISSING],125,67%
Summer#praia,T1 [Keria],123,54%
MiG GGEY#늙었어,Team Flash [Meliodas],119,64%
시비걸면지상렬#KR1,JD Gaming [sheer],119,63%
어리고싶다#KR1,T1 [Doran],111,56%
Jpm3#KR1,[Merit],110,80%
폭삭늙음#삼대떡,[Ambition],105,55%
카무사리#222,DetonatioN FocusMe [Harp],104,63%
Willer#2003,BNK FEARX Youth [Willer],102,67%
JzJd#2628,Hanwha Life Esports [Zeka],101,78%
SnowFlower#0224,[SnowFlower],101,50%
septem#ber,Suning [huanfeng],97,43%
사 용 수#KR1,[Destroy],93,55%
쿠 로#KR1,[Kuro],93,100%
마스터리 코어#KR3,V3 Esports [Hollow],92,83%
Raptor#KR123,BNK FEARX [Raptor],91,56%
HorangE#fa04,Gen.G Challengers [HorangE],91,51%
명구리버드#1234,[Tempt],90,57%
DRX Alive#Alive,DRX Challengers [Alive],88,67%
따봉 람머스#KR1,DN Freecs [DuDu],88,59%
대머리도적#롤링썬더,DRX [Rich],87,65%
쑤셔쑤셔#444,[HyBriD],87,63%
우갈이#0130,DRX [Ucal],87,61%
FATE#KR2,Fukuoka SoftBank Hawks Gaming [FATE],86,53%
만찬가#822,Fukuoka SoftBank Hawks Gaming [FATE],85,75%
25hdp#JDG,JD Gaming [Yagao],85,80%
라쿤99#KR1,[Racoon],84,53%
vinaka#KR1,Top Esports [Kanavi],84,63%
Random Korean#KR0,[Wadid],82,83%
Helper#0324,Gen.G [Helper],82,100%
ADFADGFAC#KR1,[5kid],80,50%
알빠노메일배영준#MZ04,DN Freecs [Andil],78,61%
BeryL#000,Dplus KIA [BeryL],76,100%
이자하#KR5,Kwangdong Freecs Challengers [Lancer],76,61%
midqvq9#KR11,Talon [FoFo],75,70%
Chzzk 이도르TV#유튜브,[Hollis],74,70%
모두들 행복하세요#happy,LGD Gaming [Burdol],73,57%
Pure#1229,VSG (Korean Team) [Pure],73,53%
SPIRIT#0701,[Spirit],72,55%
DRX Frozen#DRX,DRX Challengers [Frozen],70,56%
Cube#KR11,[Cube],66,67%
DRX#kr11,DRX [Pleata],66,54%
편 민 기#박 규 용,Hanwha Life Esports Challengers [Rooster],63,67%
구르시#녹서스,T1 [Gumayusi],61,60%
terren1234#KR2,Dplus KIA Challengers [Thumb],58,53%
